✅ Loaded: /content/drive/MyDrive/gan-rl-runs/12000_iters/checkpoints_128_12000_iters/gan_step_002500.pt
▶️ Resume: step 2501 -> 11999
step 2510 | loss_D 1.2668 | loss_G 0.7779 | D(real) +0.051 | D(fake) -0.241
step 5300 | loss_D 1.0827 | loss_G 1.0041 | D(real) +0.280 | D(fake) -0.446
step 5310 | loss_D 1.0561 | loss_G 1.0369 | D(real) +0.649 | D(fake) -0.142
step 5320 | loss_D 1.4131 | loss_G 1.0526 | D(real) -0.163 | D(fake) -0.132
step 5330 | loss_D 1.1437 | loss_G 1.0182 | D(real) +0.252 | D(fake) -0.289
step 5340 | loss_D 1.1432 | loss_G 1.0293 | D(real) +0.313 | D(fake) -0.344
step 5350 | loss_D 1.1982 | loss_G 1.1200 | D(real) +0.211 | D(fake) -0.335
step 5360 | loss_D 1.0409 | loss_G 1.0419 | D(real) +0.662 | D(fake) -0.489
step 5370 | loss_D 0.8675 | loss_G 1.2652 | D(real) +1.192 | D(fake) -0.560
step 5380 | loss_D 1.2987 | loss_G 1.4257 | D(real) +0.520 | D(fake) -0.844
step 5390 | loss_D 0.8661 | loss_G 1.5329 | D(real) +0.599 | D(fake) -0.672
step 5400 | loss_D 0.9201 | loss_G 1.0955 | D(real) +1.420 | D(fake) -0.100
step 5410 | loss_D 0.8896 | loss_G 1.1284 | D(real) +1.127 | D(fake) -0.673
step 5420 | loss_D 1.2743 | loss_G 1.1663 | D(real) +0.150 | D(fake) -0.268
step 5430 | loss_D 0.8383 | loss_G 1.3913 | D(real) +0.998 | D(fake) -0.442
step 5440 | loss_D 1.1674 | loss_G 1.0104 | D(real) +0.241 | D(fake) -0.437
step 5450 | loss_D 1.1158 | loss_G 0.8694 | D(real) +0.495 | D(fake) -0.203
step 5460 | loss_D 0.9066 | loss_G 1.5510 | D(real) +0.503 | D(fake) -0.944
step 5470 | loss_D 0.9340 | loss_G 1.7911 | D(real) +0.841 | D(fake) -0.711
step 5480 | loss_D 1.0413 | loss_G 1.2745 | D(real) +0.902 | D(fake) -0.359
step 5490 | loss_D 1.1865 | loss_G 0.7279 | D(real) +0.542 | D(fake) +0.018
step 5500 | loss_D 0.9646 | loss_G 0.9367 | D(real) +0.529 | D(fake) -0.513
💾 Saved: /content/drive/MyDrive/gan-rl-runs/12000_iters/checkpoints_64_12000_iters/checkpoints_64_12000_iters/gan_step_005500.pt
step 5510 | loss_D 0.9594 | loss_G 1.0885 | D(real) +1.247 | D(fake) -0.418
step 5520 | loss_D 0.9953 | loss_G 1.1067 | D(real) +0.674 | D(fake) -0.434
step 5530 | loss_D 1.3217 | loss_G 0.7787 | D(real) +0.364 | D(fake) +0.078
step 5540 | loss_D 1.3190 | loss_G 1.0458 | D(real) +0.523 | D(fake) -0.036
step 5550 | loss_D 0.9028 | loss_G 1.0991 | D(real) +0.616 | D(fake) -0.560
step 5560 | loss_D 0.8572 | loss_G 1.1599 | D(real) +0.729 | D(fake) -0.680
step 5570 | loss_D 1.6414 | loss_G 1.1072 | D(real) -0.867 | D(fake) -0.777
step 5580 | loss_D 0.9325 | loss_G 1.4995 | D(real) +0.547 | D(fake) -0.589
step 5590 | loss_D 1.0900 | loss_G 1.0666 | D(real) +0.190 | D(fake) -0.528
step 5600 | loss_D 1.2220 | loss_G 1.2308 | D(real) +0.043 | D(fake) -0.542
step 5610 | loss_D 0.8787 | loss_G 1.2043 | D(real) +0.756 | D(fake) -0.709
step 5620 | loss_D 1.6199 | loss_G 0.8580 | D(real) -0.204 | D(fake) -0.336
step 5630 | loss_D 1.3020 | loss_G 0.9150 | D(real) +0.296 | D(fake) -0.244
step 5640 | loss_D 0.7388 | loss_G 1.4615 | D(real) +2.518 | D(fake) -0.270
step 5650 | loss_D 1.2584 | loss_G 1.4765 | D(real) +0.897 | D(fake) -0.310
step 5660 | loss_D 0.9946 | loss_G 1.1940 | D(real) +0.814 | D(fake) -0.380
step 5670 | loss_D 0.7731 | loss_G 1.4474 | D(real) +1.082 | D(fake) -0.730
step 5680 | loss_D 1.0603 | loss_G 1.4539 | D(real) +0.249 | D(fake) -0.841
step 5690 | loss_D 1.0139 | loss_G 0.8166 | D(real) +0.610 | D(fake) -0.377
step 5700 | loss_D 0.9720 | loss_G 0.9349 | D(real) +2.320 | D(fake) +0.116
step 5710 | loss_D 1.0146 | loss_G 1.1139 | D(real) +0.180 | D(fake) -0.937
step 5720 | loss_D 1.6068 | loss_G 0.9114 | D(real) -0.426 | D(fake) -0.223
step 5730 | loss_D 0.7503 | loss_G 1.1097 | D(real) +1.450 | D(fake) -0.558
step 5740 | loss_D 0.8371 | loss_G 1.7277 | D(real) +1.213 | D(fake) -0.284
step 5750 | loss_D 1.1937 | loss_G 1.3907 | D(real) -0.288 | D(fake) -1.200
step 5760 | loss_D 1.9247 | loss_G 1.0194 | D(real) -0.650 | D(fake) -0.007
step 5770 | loss_D 1.0943 | loss_G 0.9367 | D(real) +0.470 | D(fake) -0.202
step 5780 | loss_D 1.1691 | loss_G 1.3896 | D(real) +0.862 | D(fake) -0.240
step 5790 | loss_D 0.7971 | loss_G 1.4394 | D(real) +1.443 | D(fake) -0.875
step 5800 | loss_D 1.2367 | loss_G 0.9308 | D(real) +0.787 | D(fake) +0.189
step 5810 | loss_D 0.8731 | loss_G 1.1709 | D(real) +0.478 | D(fake) -0.840
step 5820 | loss_D 1.0377 | loss_G 1.2097 | D(real) +0.667 | D(fake) -0.238
step 5830 | loss_D 0.7627 | loss_G 1.8017 | D(real) +0.974 | D(fake) -1.004
step 5840 | loss_D 1.1135 | loss_G 0.7828 | D(real) +0.439 | D(fake) -0.491
step 5850 | loss_D 1.2787 | loss_G 1.4981 | D(real) +0.456 | D(fake) -0.007
step 5860 | loss_D 1.0627 | loss_G 1.0706 | D(real) +0.825 | D(fake) -0.306
step 5870 | loss_D 1.2182 | loss_G 0.8720 | D(real) -0.137 | D(fake) -0.616
step 5880 | loss_D 0.6731 | loss_G 1.2194 | D(real) +1.552 | D(fake) -0.786
step 5890 | loss_D 1.1076 | loss_G 1.0750 | D(real) +1.018 | D(fake) +0.111
step 5900 | loss_D 1.2152 | loss_G 1.3100 | D(real) -0.120 | D(fake) -0.702
step 5910 | loss_D 1.0909 | loss_G 1.4093 | D(real) +0.475 | D(fake) -0.540
step 5920 | loss_D 0.7422 | loss_G 1.2783 | D(real) +1.185 | D(fake) -0.583
step 5930 | loss_D 0.5654 | loss_G 1.4476 | D(real) +2.168 | D(fake) -0.793
step 5940 | loss_D 1.2935 | loss_G 1.1969 | D(real) -0.287 | D(fake) -0.777
step 5950 | loss_D 0.8250 | loss_G 1.3011 | D(real) +0.767 | D(fake) -0.778
step 5960 | loss_D 1.0147 | loss_G 1.5246 | D(real) +0.941 | D(fake) -0.727
step 5970 | loss_D 0.6969 | loss_G 1.7238 | D(real) +0.762 | D(fake) -1.091
step 5980 | loss_D 1.6048 | loss_G 1.1499 | D(real) -0.012 | D(fake) +0.217
step 5990 | loss_D 0.7274 | loss_G 1.5012 | D(real) +1.268 | D(fake) -0.586
step 6000 | loss_D 1.1435 | loss_G 1.2818 | D(real) +0.108 | D(fake) -0.608
💾 Saved: /content/drive/MyDrive/gan-rl-runs/12000_iters/checkpoints_64_12000_iters/checkpoints_64_12000_iters/gan_step_006000.pt
step 6010 | loss_D 0.6904 | loss_G 1.3141 | D(real) +1.113 | D(fake) -0.999
step 6020 | loss_D 1.0756 | loss_G 1.0332 | D(real) +0.235 | D(fake) -0.554
step 6030 | loss_D 0.9623 | loss_G 1.5587 | D(real) +1.647 | D(fake) +0.120
step 6040 | loss_D 0.5797 | loss_G 1.6581 | D(real) +1.799 | D(fake) -0.678
step 6050 | loss_D 0.8449 | loss_G 1.2338 | D(real) +1.209 | D(fake) -0.363
step 6060 | loss_D 1.5046 | loss_G 1.5850 | D(real) +0.413 | D(fake) +0.323
step 6070 | loss_D 0.9732 | loss_G 1.5206 | D(real) +0.589 | D(fake) -0.642
step 6080 | loss_D 1.0877 | loss_G 0.8881 | D(real) +1.374 | D(fake) -0.133
step 6090 | loss_D 1.1598 | loss_G 1.3519 | D(real) +0.472 | D(fake) -0.467
step 6100 | loss_D 0.9646 | loss_G 1.4810 | D(real) +0.480 | D(fake) -0.532
step 6110 | loss_D 0.9324 | loss_G 0.8729 | D(real) +0.214 | D(fake) -0.996
step 6120 | loss_D 1.7873 | loss_G 0.6635 | D(real) -0.234 | D(fake) +0.247
step 6130 | loss_D 0.9614 | loss_G 1.0951 | D(real) +1.743 | D(fake) -0.188
step 6140 | loss_D 1.1952 | loss_G 1.0349 | D(real) +0.614 | D(fake) -0.209
step 6150 | loss_D 1.3720 | loss_G 1.0597 | D(real) -0.220 | D(fake) -0.430
step 6160 | loss_D 0.8337 | loss_G 1.0750 | D(real) +1.527 | D(fake) -0.233
step 6170 | loss_D 0.9832 | loss_G 1.0621 | D(real) +0.576 | D(fake) -0.649
step 6180 | loss_D 0.9621 | loss_G 1.7730 | D(real) +0.935 | D(fake) -0.410
step 6190 | loss_D 1.4139 | loss_G 1.5737 | D(real) +0.400 | D(fake) +0.053
step 6200 | loss_D 1.2107 | loss_G 1.1065 | D(real) +0.760 | D(fake) -0.364
step 6210 | loss_D 0.7611 | loss_G 1.4910 | D(real) +0.755 | D(fake) -0.837
step 6220 | loss_D 1.2307 | loss_G 1.2998 | D(real) +0.009 | D(fake) -0.704
step 6230 | loss_D 1.1103 | loss_G 1.1945 | D(real) +0.252 | D(fake) -0.674
step 6240 | loss_D 1.1370 | loss_G 0.8628 | D(real) +0.352 | D(fake) -0.381
step 6250 | loss_D 0.8542 | loss_G 1.2854 | D(real) +0.777 | D(fake) -0.620
step 6260 | loss_D 0.5665 | loss_G 1.4439 | D(real) +1.460 | D(fake) -0.871
step 6270 | loss_D 0.6646 | loss_G 1.6606 | D(real) +1.795 | D(fake) -0.581
step 6280 | loss_D 1.0768 | loss_G 1.2263 | D(real) +0.301 | D(fake) -0.406
step 6290 | loss_D 1.3661 | loss_G 0.9033 | D(real) +0.053 | D(fake) -0.231
step 6300 | loss_D 0.8769 | loss_G 1.8805 | D(real) +0.916 | D(fake) -0.510
step 6310 | loss_D 0.7023 | loss_G 1.7083 | D(real) +2.156 | D(fake) -0.637
step 6320 | loss_D 1.7107 | loss_G 0.9768 | D(real) -0.135 | D(fake) +0.212
step 6330 | loss_D 1.0300 | loss_G 1.0543 | D(real) +0.496 | D(fake) -0.634
step 6340 | loss_D 1.1501 | loss_G 1.1444 | D(real) +1.114 | D(fake) +0.098
step 6350 | loss_D 1.0949 | loss_G 0.9009 | D(real) +0.036 | D(fake) -0.897
step 6360 | loss_D 1.2095 | loss_G 1.6417 | D(real) +0.138 | D(fake) -0.954
step 6370 | loss_D 0.8352 | loss_G 1.2767 | D(real) +0.633 | D(fake) -0.752
step 6380 | loss_D 0.7923 | loss_G 1.2973 | D(real) +0.904 | D(fake) -0.856
step 6390 | loss_D 0.9769 | loss_G 1.2742 | D(real) +0.717 | D(fake) -0.425
step 6400 | loss_D 0.9151 | loss_G 1.1330 | D(real) +0.810 | D(fake) -0.509
step 6410 | loss_D 0.8612 | loss_G 1.1500 | D(real) +0.920 | D(fake) -0.472
step 6420 | loss_D 0.9854 | loss_G 0.9561 | D(real) +0.583 | D(fake) -0.458
step 6430 | loss_D 0.9035 | loss_G 1.3221 | D(real) +1.127 | D(fake) -0.880
step 6440 | loss_D 0.7221 | loss_G 1.1825 | D(real) +2.188 | D(fake) -0.364
step 6450 | loss_D 0.8505 | loss_G 1.2384 | D(real) +0.781 | D(fake) -0.586
step 6460 | loss_D 1.0348 | loss_G 1.5651 | D(real) +0.096 | D(fake) -0.837
step 6470 | loss_D 1.4962 | loss_G 2.1168 | D(real) -0.350 | D(fake) -0.726
step 6480 | loss_D 1.4552 | loss_G 1.1021 | D(real) +0.768 | D(fake) +0.486
step 6490 | loss_D 1.1972 | loss_G 1.1412 | D(real) +0.821 | D(fake) +0.083
step 6500 | loss_D 1.2358 | loss_G 1.2838 | D(real) +1.585 | D(fake) +0.390
💾 Saved: /content/drive/MyDrive/gan-rl-runs/12000_iters/checkpoints_64_12000_iters/checkpoints_64_12000_iters/gan_step_006500.pt
step 6510 | loss_D 0.7102 | loss_G 1.5500 | D(real) +1.242 | D(fake) -0.771
step 6520 | loss_D 1.0023 | loss_G 1.1406 | D(real) +0.700 | D(fake) -0.249
step 6530 | loss_D 0.8870 | loss_G 0.9333 | D(real) +1.178 | D(fake) -0.321
step 6540 | loss_D 0.7596 | loss_G 1.4801 | D(real) +1.114 | D(fake) -0.577
step 6550 | loss_D 1.1347 | loss_G 1.0433 | D(real) -0.105 | D(fake) -1.034
step 6560 | loss_D 1.0308 | loss_G 1.4718 | D(real) +0.601 | D(fake) -0.431
step 6570 | loss_D 1.0660 | loss_G 1.1959 | D(real) +0.569 | D(fake) -0.326
step 6580 | loss_D 1.3007 | loss_G 1.4959 | D(real) +0.650 | D(fake) -0.091
step 6590 | loss_D 0.5359 | loss_G 1.6029 | D(real) +1.771 | D(fake) -1.223
step 6600 | loss_D 1.1885 | loss_G 1.0671 | D(real) -0.012 | D(fake) -0.714
step 6610 | loss_D 1.3507 | loss_G 1.1995 | D(real) -0.169 | D(fake) -0.461
step 6620 | loss_D 1.0528 | loss_G 1.7255 | D(real) +1.192 | D(fake) -0.432
step 6630 | loss_D 1.9840 | loss_G 1.3714 | D(real) -0.154 | D(fake) +0.187
step 6640 | loss_D 0.7561 | loss_G 1.4885 | D(real) +1.397 | D(fake) -0.531
step 6650 | loss_D 0.8871 | loss_G 1.2265 | D(real) +2.861 | D(fake) -0.230
step 6660 | loss_D 1.3694 | loss_G 1.1608 | D(real) +0.583 | D(fake) +0.371
step 6670 | loss_D 0.8791 | loss_G 0.7764 | D(real) +0.842 | D(fake) -0.404
step 6680 | loss_D 0.9643 | loss_G 1.0555 | D(real) +0.623 | D(fake) -0.537
step 6690 | loss_D 0.8526 | loss_G 1.0036 | D(real) +1.902 | D(fake) -0.138
step 6700 | loss_D 1.0991 | loss_G 1.4742 | D(real) +0.392 | D(fake) -0.673
step 6710 | loss_D 1.1440 | loss_G 0.8304 | D(real) +0.390 | D(fake) -0.416
step 6720 | loss_D 1.1491 | loss_G 1.7206 | D(real) +0.816 | D(fake) -0.253
step 6730 | loss_D 1.0271 | loss_G 1.5132 | D(real) +0.659 | D(fake) -0.624
step 6740 | loss_D 0.7772 | loss_G 1.3753 | D(real) +1.216 | D(fake) -0.594
step 6750 | loss_D 0.9023 | loss_G 1.6803 | D(real) +0.975 | D(fake) -0.335
step 6760 | loss_D 0.9042 | loss_G 1.2217 | D(real) +1.278 | D(fake) -0.176
step 6770 | loss_D 0.6698 | loss_G 1.5020 | D(real) +1.815 | D(fake) -1.077
step 6780 | loss_D 0.6842 | loss_G 1.5076 | D(real) +1.145 | D(fake) -0.750
step 6790 | loss_D 1.1315 | loss_G 1.0483 | D(real) +0.880 | D(fake) -0.348
step 6800 | loss_D 0.9660 | loss_G 1.5855 | D(real) +0.508 | D(fake) -1.309
step 6810 | loss_D 1.3607 | loss_G 1.4860 | D(real) +0.814 | D(fake) -0.090
step 6820 | loss_D 0.8574 | loss_G 1.3189 | D(real) +0.668 | D(fake) -0.795
step 6830 | loss_D 1.4798 | loss_G 0.9958 | D(real) -0.102 | D(fake) -0.442
step 6840 | loss_D 1.3409 | loss_G 1.1079 | D(real) +0.562 | D(fake) +0.180
step 6850 | loss_D 1.2002 | loss_G 1.1915 | D(real) +0.456 | D(fake) -0.416
step 6860 | loss_D 1.1388 | loss_G 0.8551 | D(real) +1.721 | D(fake) +0.299
step 6870 | loss_D 0.9010 | loss_G 0.9688 | D(real) +0.560 | D(fake) -1.014
step 6880 | loss_D 1.8727 | loss_G 1.0849 | D(real) +0.079 | D(fake) +0.646
step 6890 | loss_D 0.9747 | loss_G 1.0232 | D(real) +1.258 | D(fake) -0.522
step 6900 | loss_D 1.2098 | loss_G 1.3839 | D(real) +0.247 | D(fake) -0.267
step 6910 | loss_D 1.0941 | loss_G 1.2839 | D(real) +0.697 | D(fake) -0.333
step 6920 | loss_D 0.7496 | loss_G 1.4824 | D(real) +1.280 | D(fake) -0.554
step 6930 | loss_D 0.5507 | loss_G 1.2120 | D(real) +2.699 | D(fake) -0.675
step 6940 | loss_D 1.0043 | loss_G 1.3288 | D(real) +1.380 | D(fake) -0.625
step 6950 | loss_D 1.2897 | loss_G 1.3357 | D(real) -0.074 | D(fake) -0.690
step 6960 | loss_D 0.7093 | loss_G 1.9604 | D(real) +1.506 | D(fake) -0.565
step 6970 | loss_D 1.5464 | loss_G 1.0102 | D(real) +0.026 | D(fake) -0.225
step 6980 | loss_D 1.2991 | loss_G 0.9471 | D(real) +0.675 | D(fake) -0.152
step 6990 | loss_D 1.2314 | loss_G 0.9771 | D(real) -0.128 | D(fake) -0.652
step 7000 | loss_D 0.8904 | loss_G 1.3503 | D(real) +1.651 | D(fake) -0.251
💾 Saved: /content/drive/MyDrive/gan-rl-runs/12000_iters/checkpoints_64_12000_iters/checkpoints_64_12000_iters/gan_step_007000.pt
step 7010 | loss_D 0.8518 | loss_G 1.4918 | D(real) +0.521 | D(fake) -1.251
step 7020 | loss_D 0.5161 | loss_G 1.8827 | D(real) +1.842 | D(fake) -1.058
step 7030 | loss_D 1.0953 | loss_G 0.8903 | D(real) +1.197 | D(fake) -0.158
step 7040 | loss_D 0.8985 | loss_G 1.2310 | D(real) +0.461 | D(fake) -0.985
step 7050 | loss_D 1.0015 | loss_G 1.2964 | D(real) +0.235 | D(fake) -0.771
step 7060 | loss_D 1.5423 | loss_G 0.7896 | D(real) -0.402 | D(fake) -0.188
step 7070 | loss_D 0.7100 | loss_G 1.1888 | D(real) +0.850 | D(fake) -1.229
step 7080 | loss_D 0.9335 | loss_G 1.6505 | D(real) +0.654 | D(fake) -0.993
step 7090 | loss_D 1.3690 | loss_G 1.2312 | D(real) -0.016 | D(fake) -0.244
step 7100 | loss_D 1.1189 | loss_G 1.0695 | D(real) +0.809 | D(fake) -0.275
step 7110 | loss_D 0.9817 | loss_G 1.3012 | D(real) +2.090 | D(fake) +0.219
step 7120 | loss_D 1.1045 | loss_G 1.2378 | D(real) +0.673 | D(fake) -0.094
step 7130 | loss_D 1.1305 | loss_G 0.8537 | D(real) +0.300 | D(fake) -0.387
step 7140 | loss_D 1.0909 | loss_G 1.0391 | D(real) +0.218 | D(fake) -0.457
step 7150 | loss_D 0.7720 | loss_G 1.3168 | D(real) +1.823 | D(fake) -0.324
step 7160 | loss_D 0.6144 | loss_G 1.6835 | D(real) +1.535 | D(fake) -0.771
step 7170 | loss_D 1.0634 | loss_G 1.3431 | D(real) +0.764 | D(fake) -0.276
step 7180 | loss_D 1.3467 | loss_G 1.1224 | D(real) -0.072 | D(fake) -0.400
step 7190 | loss_D 0.8614 | loss_G 1.2861 | D(real) +1.629 | D(fake) -0.358
step 7200 | loss_D 1.0862 | loss_G 1.2154 | D(real) -0.031 | D(fake) -0.973
step 7210 | loss_D 0.7428 | loss_G 1.1322 | D(real) +1.283 | D(fake) -0.536
step 7220 | loss_D 1.2477 | loss_G 0.7914 | D(real) -0.067 | D(fake) -0.661
step 7230 | loss_D 1.0273 | loss_G 1.2919 | D(real) +0.233 | D(fake) -1.123
step 7240 | loss_D 0.7123 | loss_G 1.5570 | D(real) +1.656 | D(fake) -0.473
step 7250 | loss_D 1.2539 | loss_G 1.4130 | D(real) +0.872 | D(fake) -0.036
step 7260 | loss_D 0.8587 | loss_G 1.7430 | D(real) +0.123 | D(fake) -1.588
step 7270 | loss_D 0.7618 | loss_G 1.3142 | D(real) +1.485 | D(fake) -0.409
step 7280 | loss_D 1.0013 | loss_G 1.2001 | D(real) +1.846 | D(fake) +0.084
step 7290 | loss_D 0.8296 | loss_G 1.2228 | D(real) +0.884 | D(fake) -0.629
step 7300 | loss_D 0.8640 | loss_G 1.2544 | D(real) +1.921 | D(fake) -0.024
step 7310 | loss_D 1.2979 | loss_G 1.0016 | D(real) -0.028 | D(fake) -0.318
step 7320 | loss_D 0.9198 | loss_G 1.3879 | D(real) +0.928 | D(fake) -0.607
step 7330 | loss_D 0.9793 | loss_G 0.8523 | D(real) +1.003 | D(fake) -0.464
step 7340 | loss_D 0.5388 | loss_G 2.0316 | D(real) +1.294 | D(fake) -1.324
step 7350 | loss_D 1.6341 | loss_G 1.2102 | D(real) +0.227 | D(fake) +0.486
step 7360 | loss_D 0.8815 | loss_G 0.6841 | D(real) +1.099 | D(fake) -0.433
step 7370 | loss_D 1.3045 | loss_G 1.0659 | D(real) +0.304 | D(fake) -0.188
step 7380 | loss_D 1.0055 | loss_G 1.1728 | D(real) +0.323 | D(fake) -0.593
step 7390 | loss_D 1.0486 | loss_G 1.2673 | D(real) +0.361 | D(fake) -0.771
step 7400 | loss_D 0.6858 | loss_G 1.1772 | D(real) +1.228 | D(fake) -0.689
step 7410 | loss_D 0.9696 | loss_G 0.8823 | D(real) +1.034 | D(fake) -0.268
step 7420 | loss_D 1.2142 | loss_G 1.0190 | D(real) -0.084 | D(fake) -0.550
step 7430 | loss_D 1.1197 | loss_G 0.8356 | D(real) +0.839 | D(fake) +0.052
step 7440 | loss_D 0.9431 | loss_G 1.1870 | D(real) +0.907 | D(fake) -0.477
step 7450 | loss_D 1.0232 | loss_G 1.1805 | D(real) +0.480 | D(fake) -0.830
step 7460 | loss_D 0.9351 | loss_G 1.2883 | D(real) +1.015 | D(fake) -0.391
step 7470 | loss_D 1.2608 | loss_G 1.1494 | D(real) +0.914 | D(fake) +0.330
step 7480 | loss_D 0.6707 | loss_G 1.6357 | D(real) +1.166 | D(fake) -0.957
step 7490 | loss_D 0.6911 | loss_G 1.9142 | D(real) +1.642 | D(fake) -1.203
step 7500 | loss_D 1.4657 | loss_G 0.8061 | D(real) +0.445 | D(fake) +0.089
💾 Saved: /content/drive/MyDrive/gan-rl-runs/12000_iters/checkpoints_64_12000_iters/checkpoints_64_12000_iters/gan_step_007500.pt
step 7510 | loss_D 0.8465 | loss_G 1.7158 | D(real) +1.359 | D(fake) -0.201
step 7520 | loss_D 1.0897 | loss_G 1.2155 | D(real) +0.141 | D(fake) -0.622
step 7530 | loss_D 0.9547 | loss_G 0.9023 | D(real) +1.134 | D(fake) -0.113
step 7540 | loss_D 0.8684 | loss_G 1.0868 | D(real) +1.264 | D(fake) -0.177
step 7550 | loss_D 1.0893 | loss_G 1.2350 | D(real) +1.443 | D(fake) -0.332
step 7560 | loss_D 0.9144 | loss_G 1.4418 | D(real) +0.949 | D(fake) -0.339
step 7570 | loss_D 0.5321 | loss_G 1.2268 | D(real) +2.643 | D(fake) -0.585
step 7580 | loss_D 1.0406 | loss_G 1.0453 | D(real) +0.637 | D(fake) -0.956
step 7590 | loss_D 0.8377 | loss_G 1.4308 | D(real) +0.918 | D(fake) -0.749
step 7600 | loss_D 0.9790 | loss_G 0.9821 | D(real) +0.662 | D(fake) -0.534
step 7610 | loss_D 0.5647 | loss_G 1.7519 | D(real) +1.671 | D(fake) -0.859
step 7620 | loss_D 1.0238 | loss_G 1.3077 | D(real) +0.768 | D(fake) -0.315
step 7630 | loss_D 1.0712 | loss_G 0.9803 | D(real) +0.594 | D(fake) -0.240
step 7640 | loss_D 0.7442 | loss_G 1.6793 | D(real) +1.096 | D(fake) -0.779
step 7650 | loss_D 1.1211 | loss_G 0.9932 | D(real) +0.231 | D(fake) -0.466
step 7660 | loss_D 0.6386 | loss_G 1.4110 | D(real) +1.216 | D(fake) -0.970
step 7670 | loss_D 0.9736 | loss_G 1.3554 | D(real) +0.621 | D(fake) -0.559
step 7680 | loss_D 0.6701 | loss_G 1.4874 | D(real) +0.862 | D(fake) -1.498
step 7690 | loss_D 0.9944 | loss_G 1.2649 | D(real) +1.248 | D(fake) +0.009
step 7700 | loss_D 1.3731 | loss_G 1.0872 | D(real) +0.085 | D(fake) -0.054
step 7710 | loss_D 0.9727 | loss_G 2.2576 | D(real) +0.149 | D(fake) -1.166
step 7720 | loss_D 1.2561 | loss_G 0.8662 | D(real) +1.078 | D(fake) +0.337
step 7730 | loss_D 0.8080 | loss_G 1.2101 | D(real) +1.330 | D(fake) -0.372
step 7740 | loss_D 1.1717 | loss_G 1.0228 | D(real) +0.219 | D(fake) -0.308
step 7750 | loss_D 1.0302 | loss_G 1.2003 | D(real) +0.641 | D(fake) -0.434
step 7760 | loss_D 1.0247 | loss_G 0.9523 | D(real) +1.618 | D(fake) +0.035
step 7770 | loss_D 0.8797 | loss_G 1.4851 | D(real) +0.935 | D(fake) -1.046
step 7780 | loss_D 1.2540 | loss_G 0.9254 | D(real) -0.126 | D(fake) -0.636
step 7790 | loss_D 0.8758 | loss_G 1.0802 | D(real) +1.392 | D(fake) -0.308
step 7800 | loss_D 1.2365 | loss_G 0.8001 | D(real) +1.085 | D(fake) +0.402
step 7810 | loss_D 0.6099 | loss_G 1.4273 | D(real) +2.904 | D(fake) -1.118
step 7820 | loss_D 0.8869 | loss_G 1.5714 | D(real) +0.707 | D(fake) -0.609
step 7830 | loss_D 1.2046 | loss_G 1.1622 | D(real) +0.573 | D(fake) +0.036
step 7840 | loss_D 0.9531 | loss_G 1.1799 | D(real) +0.540 | D(fake) -0.609
step 7850 | loss_D 0.8890 | loss_G 1.3261 | D(real) +1.251 | D(fake) -0.266
step 7860 | loss_D 0.8521 | loss_G 1.0620 | D(real) +0.882 | D(fake) -0.701
step 7870 | loss_D 0.9815 | loss_G 0.9032 | D(real) +0.921 | D(fake) -0.340
step 7880 | loss_D 0.7033 | loss_G 1.2904 | D(real) +1.209 | D(fake) -1.138
step 7890 | loss_D 1.2754 | loss_G 0.9436 | D(real) +0.194 | D(fake) -0.105
step 7900 | loss_D 1.0125 | loss_G 1.2911 | D(real) +2.400 | D(fake) +0.352
step 7910 | loss_D 0.8008 | loss_G 1.2435 | D(real) +1.498 | D(fake) -0.286
step 7920 | loss_D 0.8715 | loss_G 1.3159 | D(real) +1.624 | D(fake) -0.113
step 7930 | loss_D 1.4956 | loss_G 1.1452 | D(real) -0.228 | D(fake) -0.476
step 7940 | loss_D 1.0777 | loss_G 1.0171 | D(real) +0.207 | D(fake) -0.507
step 7950 | loss_D 0.9269 | loss_G 1.7463 | D(real) +0.579 | D(fake) -0.657
step 7960 | loss_D 1.3424 | loss_G 0.9567 | D(real) -0.078 | D(fake) -0.317
step 7970 | loss_D 0.7529 | loss_G 1.4692 | D(real) +0.904 | D(fake) -1.024
step 7980 | loss_D 1.3885 | loss_G 1.1060 | D(real) -0.008 | D(fake) -0.054
step 7990 | loss_D 1.0591 | loss_G 0.8190 | D(real) +1.222 | D(fake) -0.056
step 8000 | loss_D 1.1916 | loss_G 0.8976 | D(real) -0.215 | D(fake) -0.836
💾 Saved: /content/drive/MyDrive/gan-rl-runs/12000_iters/checkpoints_64_12000_iters/checkpoints_64_12000_iters/gan_step_008000.pt
step 8010 | loss_D 1.5193 | loss_G 1.0654 | D(real) -0.245 | D(fake) -0.050
step 8020 | loss_D 0.7694 | loss_G 1.0335 | D(real) +1.533 | D(fake) -0.502
step 8030 | loss_D 1.0090 | loss_G 1.3416 | D(real) +0.081 | D(fake) -0.888
step 8040 | loss_D 1.3337 | loss_G 0.9751 | D(real) +0.032 | D(fake) -0.168
step 8050 | loss_D 0.7795 | loss_G 1.7882 | D(real) +1.982 | D(fake) -0.686
step 8060 | loss_D 1.3089 | loss_G 1.0053 | D(real) +0.123 | D(fake) -0.595
step 8070 | loss_D 1.0874 | loss_G 0.8178 | D(real) +0.790 | D(fake) -0.053
step 8080 | loss_D 0.8183 | loss_G 1.0896 | D(real) +0.707 | D(fake) -1.190
